,Company Name,Listed,HQ Country,GICS Sector,Accounting Year End,Reported Scope 1 tCO2e,Estimated Scope 1 tCO2e,Scope 1 source,Scope 1 quality flag,Reported market-based Scope 2 tCO2e,Note,Reported location-based Scope 2 tCO2e,Estimated location-based Scope 2 tCO2e,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity tCO2e/mmUSD,Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex.1,Regulationindex.1,Environmentindex.1,Socialindex.1,Governanceindex.1,ESGindex.1,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  tCO2e/mmUSD,Scope 1 tCO2e,Scope 2 tCO2e,Scope 1 and 2 tCO2e,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
11,Australia and New Zealand Banking Group,Yes,Australia,Financials,30/06/2016,21122.0,0.0,Reported: CDP (Reviewed),7.0,"136,124.06",  ,172447.0,0.0,Reported: CDP (Reviewed),7.0,,5.35,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000anz3,0.017520552,0.011407886,0.012071446999999999,0.015461751000000001,0.40802005,5.35321773,21122.0,172447.0,193569.0,0,0,0,1,0,0,0,0,0,0,0
12,APA Group,Yes,Australia,Utilities,30/06/2016,402695.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,26487.0,0.0,Reported: CDP (Reviewed),7.0,,285.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000apa1,0.014781799999999998,0.01149818,0.020463557,0.01365611,0.478696742,285.90785550000004,402695.0,26487.0,429182.0,0,0,0,0,0,0,0,0,0,0,1
13,Ausdrill,Yes,Australia,Materials,28/06/2017,0.0,140000.0,Estimated: Gamma GLM,2.0,, NA ,0.0,240000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3.0,,649.15,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000asl2,0.057488408,0.025507559,0.030621014,0.032861161,0.041102757000000004,649.1509789,140000.0,240000.0,380000.0,0,0,0,0,0,0,0,1,0,0,0
14,AusNet Services,Yes,Australia,Utilities,30/03/2017,0.0,180000.0,Estimated: Carried Forwards,5.0,, NA ,0.0,860000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,1.0,,734.29,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ast5,0.013039151,0.010502609,0.013381252,0.008446933,0.654385965,734.2921494,180000.0,860000.0,1040000.0,0,0,0,0,0,0,0,0,0,0,1
15,Alumina,Yes,Australia,Materials,31/12/2016,2542856.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,1396300.0,0.0,Reported: CDP (Reviewed),7.0,,,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,539.2810767000001,2542856.0,1396300.0,3939156.0,0,0,0,0,0,0,0,1,0,0,0
16,AWE,Yes,Australia,Energy,28/06/2017,0.0,170000.0,Estimated: Oil & Gas Extraction,6.0,, NA ,0.0,45000.0,Estimated: Oil & Gas Extraction,6.0,,3968.25,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000awe9,0.057953160999999996,0.03208439,,,0.0,3968.253968,170000.0,45000.0,215000.0,0,0,1,0,0,0,0,0,0,0,0
17,Aurizon Holdings,Yes,Australia,Industrials,30/06/2016,656639.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,434712.0,0.0,Reported: CDP (Reviewed),7.0,,433.19,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000azj1,0.018589339,0.012920367,0.012635163999999999,0.011504328000000001,0.562907268,433.1926869,656639.0,434712.0,1091351.0,0,0,0,0,0,1,0,0,0,0,0
18,Bendigo and Adelaide Bank,Yes,Australia,Financials,30/06/2016,3754.76,0.0,Reported: CDP (Reviewed),7.0,"25,890.17",  ,25890.17,0.0,Reported: CDP (Reviewed),7.0,We currently purchase a renewable energy matched component of our electricity however this is not accredited as greenpower. Hence our location based is identical to market based for the reporting year.,13.23,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ben6,0.019453691999999998,0.01497272,0.012992095,0.016372304,0.36566416,13.23091789,3754.76,25890.17,29644.93,0,0,0,1,0,0,0,0,0,0,0
19,BHP Billiton,Yes,Australia,Materials,30/06/2016,11292000.0,0.0,Reported: CDP (Reviewed),7.0,"6,720,000.00",  ,6720000.0,0.0,Reported: CDP (Reviewed),7.0,"In accordance with the new GHG Protocol Scope 2 disclosure requirements our market-based Scope 2 emissions were 6.72Mt CO2-e which compare to ourlocation-based Scope 2 emissions of 6.72Mt CO2-e. Unless otherwise noted, all scope 2 emissions reported are calculated using the market-based method.Our market-based Scope 2 emissions were calculated using supplier specific emissions factors. A residual mix is currently unavailable to account for voluntarypurchases and this may result in double counting between electricity consumers.",582.69,Market-based,120,133,97,105,136,117,118,132,104,73,125,109,103,128,89,123,110,123,123,105,136,0,44,115,51,43,47,133,52,0,61,0.18,0.06,0.17,0.28,0.19,0.09,au000000bhp4,0.02788261,0.014745463,0.015850741,0.012937031000000002,0.505513784,582.6863354,11292000.0,6720000.0,18012000.0,0,0,0,0,0,0,0,1,0,0,0
20,Boral,Yes,Australia,Materials,30/06/2016,1925805.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,532005.0,0.0,Reported: CDP (Reviewed),7.0,,782.51,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000bld2,0.018650568,0.014312647,0.017729903,0.018819284,0.263157895,782.5127669999999,1925805.0,532005.0,2457810.0,0,0,0,0,0,0,0,1,0,0,0
21,Bank of Queensland,Yes,Australia,Financials,30/08/2016,0.0,1700.0,Estimated: Gamma GLM,5.0,, NA ,0.0,21000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,13.2,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000boq8,0.019098625,0.012369666999999999,0.01335654,0.016562386000000002,0.35588972399999996,13.20227987,1700.0,21000.0,22700.0,0,0,0,1,0,0,0,0,0,0,0
22,BlueScope Steel,Yes,Australia,Materials,28/06/2017,8145000.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,2800000.0,"Estimated: Iron & Steel Mills, Gamma GLM",6.0,,1363.86,Location-based,112,89,60,121,131,98,90,103,100,71,109,82,80,129,92,84,121,84,91,90,106,81,69,80,48,30,0,345,143,117,184,0.16,0.19,0.06,0.08,0.05,0.13,au000000bsl0,0.028575645,0.024868612000000002,0.02291051,0.024640345,0.119298246,1363.862928,8145000.0,2800000.0,10945000.0,0,0,0,0,0,0,0,1,0,0,0
23,BT Investment Management,Yes,Australia,Financials,30/09/2016,0.0,0.0,Reported: CDP (Not Reviewed),,, NA ,486.07,0.0,Reported: CDP (Not Reviewed),,,1.32,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000btt1,0.027367746000000002,0.018128021,0.01859541,0.017682276,0.308270677,1.319336627,0.0,486.07,486.07,0,0,0,1,0,0,0,0,0,0,0
24,Brambles,Yes,Australia,Industrials,30/06/2016,78940.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,41820.0,0.0,Reported: CDP (Reviewed),7.0,"We did not calculate or report a scope 2 market-based emissions figure for FY16. We will investigate doing this in FY17, as we are able to separate renewable energy data by country.",21.82,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000bxb1,0.016134243,0.016279062,0.012092296,0.01100971,0.5779448620000001,21.81594827,78940.0,41820.0,120760.0,0,0,0,0,0,1,0,0,0,0,0
25,Commonwealth Bank of Australia,Yes,Australia,Financials,30/06/2016,9083.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,108013.0,0.0,Reported: CDP (Reviewed),7.0,,3.9,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cba7,0.015779577,0.010535136,0.011688047,0.012803651000000001,0.512781955,3.9038350239999997,9083.0,108013.0,117096.0,0,0,0,1,0,0,0,0,0,0,0
26,Coca-Cola Amatil,Yes,Australia,Consumer Staples,31/12/2016,69864.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,208699.0,0.0,Reported: CDP (Reviewed),7.0,,71.84,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ccl2,0.016085445,0.013589847,0.015476066,0.015717085,0.39624060200000005,71.84365611,69864.0,208699.0,278563.0,0,1,0,0,0,0,0,0,0,0,0
27,Challenger,Yes,Australia,Financials,30/06/2016,0.0,860.0,Estimated: Gamma GLM,3.0,, NA ,994.3,0.0,Reported: CDP (Reviewed),7.0,,1.4,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cgf5,0.021224349,0.012919547,0.019202248,0.031250196,0.051629073,1.4036243069999998,860.0,994.3,1854.3,0,0,0,1,0,0,0,0,0,0,0
28,Charter Hall Group,Yes,Australia,Real Estate,30/06/2016,6784.0,0.0,Reported: CDP (Not Reviewed),,, NA ,79608.0,0.0,Reported: CDP (Not Reviewed),,,703.12,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000chc0,0.014613686,0.011183806999999999,0.011229908,0.009966276,0.610275689,703.1171157000001,6784.0,79608.0,86392.0,0,0,0,0,0,0,0,0,1,0,0
29,Cochlear,Yes,Australia,Health Care,29/06/2017,0.0,5500.0,Estimated: Gamma GLM,5.0,, NA ,0.0,19000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,25.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000coh5,0.018270272,0.012845934,0.017356825,0.01666297,0.352130326,25.91386021,5500.0,19000.0,24500.0,0,0,0,0,1,0,0,0,0,0,0
30,CSL,Yes,Australia,Health Care,30/06/2016,87244.0,0.0,Reported: CDP (Reviewed),7.0,"185,202.00",  ,186423.0,0.0,Reported: CDP (Reviewed),7.0,"These represent Scope 2 emissions from CSL's operations in Australia, Europe, USA and the UK with small exceptions noted elsewhere (CC8.4a).",44.55,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000csl8,0.014925889,0.013519195,0.016079918000000002,0.013934397,0.46716792,44.55153468,87244.0,186423.0,273667.0,0,0,0,0,1,0,0,0,0,0,0
31,CSR,Yes,Australia,Materials,30/03/2017,0.0,450000.0,Estimated: Carried Forwards,5.0,, NA ,0.0,890000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,721.19,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000csr5,,,,,0.0,721.1861898,450000.0,890000.0,1340000.0,0,0,0,0,0,0,0,1,0,0,0
32,Caltex Australia,Yes,Australia,Energy,31/12/2016,733536.99,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,990000.0,"Estimated: Gamma GLM, O&G  Refining",6.0,,129.18,Location-based,115,187,67,92,61,90,85,83,96,94,81,78,105,97,59,98,108,98,84,106,43,148,101,96,87,37,0,19,112,16,46,0.29,0.12,0.08,0.27,0.23,0.09,au000000ctx1,0.016025505,0.012204884,0.013604682,0.015332129,0.415288221,129.1759812,733536.99,990000.0,1723536.99,0,0,1,0,0,0,0,0,0,0,0
33,Crown Resorts,Yes,Australia,Consumer Discretionary,30/06/2016,25399.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,144038.0,0.0,Reported: CDP (Reviewed),7.0,,58.45,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cwn6,0.020303711000000002,0.012383638999999998,0.012165556000000001,0.011876783,0.550626566,58.45427175,25399.0,144038.0,169437.0,1,0,0,0,0,0,0,0,0,0,0
34,Cleanaway Waste Management,Yes,Australia,Industrials,30/06/2016,671897.0,0.0,Reported: CDP (Not Reviewed),,, NA ,29331.0,0.0,Reported: CDP (Not Reviewed),,,661.47,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000tpi4,,,,,0.0,661.4672062000001,671897.0,29331.0,701228.0,0,0,0,0,0,1,0,0,0,0,0
35,Domino's Pizza Enterprises,Yes,Australia,Consumer Discretionary,29/06/2017,0.0,9300.0,Estimated: Gamma GLM,3.0,, NA ,0.0,57000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,82.07,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,82.06969116,9300.0,57000.0,66300.0,1,0,0,0,0,0,0,0,0,0,0
36,Downer EDI,Yes,Australia,Industrials,30/06/2016,220712.0,0.0,Reported: CDP (Not Reviewed),,, NA ,41187.0,0.0,Reported: CDP (Not Reviewed),,Final data was revised to correct error (remove duplication) to data reported in 2016 Sustainability Report (41187),52.51,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000dow2,0.024076632999999997,0.02265567,0.014017047,0.016443696,0.36265664200000003,52.50791932,220712.0,41187.0,261899.0,0,0,0,0,0,1,0,0,0,0,0
37,Dexus Property Group,Yes,Australia,Real Estate,30/06/2016,17044.0,0.0,Reported: CDP (Reviewed),7.0,"127,852.00",  ,134895.0,0.0,Reported: CDP (Reviewed),7.0,"Dexus's market-based Scope 2 emissions accounts for voluntary purchase of accredited GreenPower for properties in Australia, with the residual mix calculated using state-based electricity grid emission factors. GreenPower purchases are unbundled and consist of purchases from government-accredited, emission-free renewable sources including wind and solar.",229.95,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000dxs1,0.015236075,0.010565587,0.012104823999999998,0.011296541,0.567669173,229.94985079999998,17044.0,134895.0,151939.0,0,0,0,0,0,0,0,0,1,0,0
38,Flight Centre,Yes,Australia,Consumer Discretionary,28/06/2017,0.0,160000.0,Estimated: Gamma GLM,3.0,, NA ,0.0,54000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3.0,,107.08,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000flt9,0.021185587000000002,0.017010642,0.020427547,0.01690864,0.339598997,107.0754882,160000.0,54000.0,214000.0,1,0,0,0,0,0,0,0,0,0,0
39,Fortescue Metals Group,Yes,Australia,Materials,30/06/2016,1410794.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,362799.0,0.0,Reported: CDP (Reviewed),7.0,,250.4,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000fmg4,0.042437272000000005,0.024740743,0.020302,0.027189967000000002,0.08095238099999999,250.4013835,1410794.0,362799.0,1773593.0,0,0,0,0,0,0,0,1,0,0,0
40,Goodman Group,Yes,Australia,Real Estate,29/06/2017,11425.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,76000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,70.25,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000gmg2,0.014653671000000002,0.010369671,0.011999689,0.012562178,0.524561404,70.24683834,11425.0,76000.0,87425.0,0,0,0,0,0,0,0,0,1,0,0
41,GrainCorp,Yes,Australia,Consumer Staples,29/09/2016,0.0,220000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,100000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,104.45,Location-based,155,186,126,116,96,103,86,73,101,74,100,80,107,124,42,89,110,89,92,99,196,357,274,79,35,15,0,228,0,39,94,0.32,0.17,0.25,0.21,0.12,0.11,au000000gnc9,0.017336161,0.014700221000000001,0.02231084,0.011862565,0.55112782,104.4495509,220000.0,100000.0,320000.0,0,1,0,0,0,0,0,0,0,0,0
42,Growthpoint Properties Australia,Yes,Australia,Real Estate,31/12/2016,552.0,0.0,Reported: CDP (Not Reviewed),,, NA ,9526.0,0.0,Reported: CDP (Not Reviewed),,,50.63,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0.0,50.63049486,552.0,9526.0,10078.0,0,0,0,0,0,0,0,0,1,0,0
43,GPT Group,Yes,Australia,Real Estate,31/12/2016,13286.0,0.0,Reported: CDP (Reviewed),7.0,"109,421.00",  ,146716.0,0.0,Reported: CDP (Reviewed),7.0,The difference between the two measurement approaches reflects electricity retailer agreements to include a portion of Government certified Green Power in our electricity supply,224.2,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000gpt8,0.014105867,0.010293072,0.010854731999999999,0.012621951999999999,0.521553885,224.2042755,13286.0,146716.0,160002.0,0,0,0,0,0,0,0,0,1,0,0
